Start Date,Start Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,Stop Date,Stop Time,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Trip_Duration_mins,Trip_Duration_secs,Bike ID,User Type,Birth Year,Gender
2015-10-01,08:29,3213,Van Vorst Park,40.71848892,-74.047726625,2015-10-01,08:37,3184,Paulus Hook,40.7141454,-74.0335519,8,464,24391,Customer,1984,0
2015-10-01,08:29,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,09:33,3203,Hamilton Park,40.727595966,-74.044247311,64,3813,24455,Subscriber,1985,2
2015-10-01,08:30,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,08:36,3186,Grove St PATH,40.71958611647166,-74.0431174635887,7,391,24700,Subscriber,1968,1
2015-10-01,08:30,3207,Oakland Ave,40.7376037,-74.05247829999999,2015-10-01,08:48,3183,Exchange Place,40.7162469,-74.0334588,18,1077,24489,Subscriber,1981,1
2015-10-01,08:30,3209,Brunswick St,40.7241765,-74.05065640000001,2015-10-01,08:36,3186,Grove St PATH,40.71958611647166,-74.0431174635887,6,367,24415,Subscriber,1957,2
2015-10-01,08:30,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,08:36,3186,Grove St PATH,40.71958611647166,-74.0431174635887,6,369,24618,Subscriber,1977,2
2015-10-01,08:31,3207,Oakland Ave,40.7376037,-74.05247829999999,2015-10-01,08:39,3195,Sip Ave,40.730742625306576,-74.06378388404845,8,472,24470,Subscriber,1990,2
2015-10-01,08:31,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,08:39,3202,Newport PATH,40.7272235,-74.03375890000001,7,422,24574,Subscriber,1981,1
2015-10-01,08:33,3207,Oakland Ave,40.7376037,-74.05247829999999,2015-10-01,08:50,3183,Exchange Place,40.7162469,-74.0334588,17,1049,24651,Subscriber,1989,1
2015-10-01,08:33,3203,Hamilton Park,40.727595966,-74.044247311,2015-10-01,08:38,3187,Warren St,40.721123600000006,-74.03805095,6,343,24658,Subscriber,1983,1
2015-10-01,08:34,3187,Warren St,40.721123600000006,-74.03805095,2015-10-01,08:38,3186,Grove St PATH,40.71958611647166,-74.0431174635887,4,221,17653,Subscriber,1989,2
